,costo/g,,,,,,,,,
Alimento,Bogota,Medellin ,Barranquilla,Cali,promedio,varianza,kcal/g,carb/g,proteina/g,grasa/g
Cebolla Cabezona,"1,7","1,9155","2,0555","1,7635","1,858625","0,02540172917","0,4","0,093","0,011","0,001"
Tomate,"2,745","3,1025","2,748","3,2515","2,962","0,06547841667","0,18","0,027","0,009","0,002"
Frijol,"8,1373","9,5155","7,2675","6,1063","7,75665","2,06712353","3,37","0,063","0,021","0,002"
Arroz,"2,61025","2,445","2,693","2,496","2,5610625","0,01251018229","3,8","0,086","0,007","0,009"
Huevo (AA),"6,6538","6,5308","8,4615","6,8076","7,113425","0,8205140558","1,41",0,"0,127","0,097"
Lomo (Res),"33,751",48,"28,458","29,6888","35,0432","82,92825683","1,27",0,"0,2","0,1"
Lomo (Cerdo),"18,981","21,350","14,0580","20,7510","18,785","10,942442","1,6",0,"0,2","0,06"
Pechuga (Pollo),"12,3670","13,7500","12,850","12,250","12,8043","0,3487291875","1,17",0,"0,218","0,0333"
Papa,,,,,,,,,,
Lenteja,,,,,,,,,,
Arveja,,,,,,,,,,
Pasta,,,,,,,,,,
Queso,,,,,,,,,,
Pan,,,,,,,,,,
Zanahoria,,,,,,,,,,
