Alimento,CostoBogota/g,CostoMedellin/g,CostoBarranquilla/g,CostoCali/g,promedio,varianza,kcal/g,carb/g,proteina/g,grasa/g,calcio/g,mghierro/g,B12/g
Cebolla Cabezona,"1,7","1,9155","2,0555","1,7635","1,858625","0,02540172917","0,4","0,093","0,011","0,001","0,00023","0,002",0
Tomate,"2,745","3,1025","2,748","3,2515","2,962","0,06547841667","0,18","0,027","0,009","0,002","0,0001","0,003",0
Frijol,"8,1373","9,5155","7,2675","6,1063","7,75665","2,06712353","1,51","0,2139","0,0554","0,0515","0,0013","0,051",0
Arroz,"2,61025","2,445","2,693","2,496","2,5610625","0,01251018229","1,29","0,279","0,0266","0,0028","0,0001","0,002",0
Huevo (AA),"6,6538","6,5308","8,4615","6,8076","7,113425","0,8205140558","1,0769","0,0153","0,123","0,0769","0,0005","0,012","0,000000011"
Lomo (Res),"33,751",48,"28,458","29,6888","35,0432","82,92825683","1,27",0,"0,2227","0,0354","0,00019","0,019","0,000000013"
Lomo (Cerdo),"18,981","21,350","14,0580","20,7510","18,785","10,942442","1,2",0,"0,2099","0,0341","0,00019","0,009","0,000000007"
Pechuga (Pollo),"12,3670","13,7500","12,850","12,250","12,8043","0,46497225","1,17",0,"0,218","0,0333","0,00015","0,01","0,000000003"
Papa,"2,646","3,625","2,325","2,651","2,81175","0,3172049167","1,04","0,1936","0,0166","0,024","0,00012","0,005",0
Lenteja,"6,05375","5,5275","5,527","5,529","5,6593125","0,06914780729","3,25","0,54","0,25","0,017","0,00019","0,033",0
Arveja,"4,2350","3,3680","7,3880","3,7860","4,6943","3,35035225","3,52","0,382","0,238","0,011","0,00025","0,015",0
Pasta,"6,2120","6,231","5,834","6,695","6,2430","0,12423","1,57","0,3068","0,0576","0,0092","0,00006","0,011","0,000000001"
Queso,"13,8360","17,5150","18,8630","16,1520","16,5915","4,599501667","1,45","0,0541","0,1199","0,0833","0,0069","0,0055","0,000000008"
Zanahoria,"1,98","0,8375","1,706","0,82","1,335875","0,3554647292","0,35","0,052","0,008","0,002","0,00033","0,003",0
Atún,"24,752","25,601","26,118","24,907","25,3445","0,4021856667","1,19",0,"0,23","0,033","0,00004","0,013","0,00000004"
